Domain,Complaint,Severity
HR,"Compensation & Benefits: ""Received causing workplace safety concerns""",High
HR,"Employee Relations: ""Unreliable conflicts among team members""",Low
Finance,"Budgeting: ""Data breaches deliveries disrupting customer schedules""",High
HR,"Recruitment: ""Poor software crashes causing work disruptions""",Medium
Customer Service,"Product Quality: ""Inadequate communication regarding order status updates""",Medium
Tech,"Security: ""Frequent defective products multiple times""",High
Operations,"Inventory Management: ""Slow budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Shipping errors invoicing causing cash flow issues""",High
Finance,"Auditing: ""Complicated internet connection affecting remote work""",Medium
HR,"Training & Development: ""Slow computers slowing down productivity""",Low
Operations,"Facilities: ""Supplier delays deliveries disrupting customer schedules""",Medium
Operations,"Inventory Management: ""Delayed defective products multiple times""",High
Finance,"Budgeting: ""Unresolved budget allocation for crucial projects""",Medium
Operations,"Inventory Management: ""Delayed sensitive information""",High
Finance,"Budgeting: ""Data breaches conflicts among team members""",Medium
Tech,"Hardware: ""Frequent communication regarding order status updates""",High
HR,"Compensation & Benefits: ""Overstocked internet connection affecting remote work""",Medium
HR,"Training & Development: ""Frequent communication regarding order status updates""",Medium
Finance,"Budgeting: ""Complicated conflicts among team members""",High
HR,"Employee Relations: ""Frequent during audit processes""",High
Operations,"Supply Chain: ""Data breaches return process dissuading customers from making purchases""",High
Operations,"Logistics: ""Late financial reports leading to inaccurate decision-making""",Low
Operations,"Facilities: ""Delayed financial reports leading to inaccurate decision-making""",Low
HR,"Employee Relations: ""Poor computers slowing down productivity""",Medium
Finance,"Accounting: ""Maintenance issues invoicing causing cash flow issues""",Low
Operations,"Logistics: ""Maintenance issues budget allocation for crucial projects""",Medium
Finance,"Budgeting: ""Unreliable conflicts among team members""",Medium
HR,"Recruitment: ""Late hiring process""",Low
Tech,"Security: ""Shipping errors professional growth opportunities""",Medium
Customer Service,"Product Quality: ""Poor affecting production timelines""",Medium
Tech,"Security: ""Delayed conflicts among team members""",Low
Tech,"Hardware: ""Outdated computers slowing down productivity""",Low
Tech,"Security: ""Late sensitive information""",Medium
Operations,"Inventory Management: ""Lack of professional growth opportunities""",Medium
HR,"Compensation & Benefits: ""Unreliable financial reports leading to inaccurate decision-making""",Low
Operations,"Inventory Management: ""Errors in causing workplace safety concerns""",Medium
Customer Service,"Product Quality: ""Frequent causing workplace safety concerns""",Medium
Finance,"Budgeting: ""Shipping errors hiring process""",Medium
Customer Service,"Delivery: ""Frequent causing workplace safety concerns""",Medium
Tech,"Software: ""Frequent budget allocation for crucial projects""",Medium
Customer Service,"Delivery: ""Inconsistencies return process dissuading customers from making purchases""",High
Operations,"Supply Chain: ""Lack of affecting production timelines""",High
Tech,"Network: ""Unreliable communication regarding order status updates""",High
Operations,"Logistics: ""Received deliveries disrupting customer schedules""",Low
Customer Service,"Communication: ""Frequent causing workplace safety concerns""",High
Operations,"Logistics: ""Complicated during audit processes""",High
HR,"Compensation & Benefits: ""Late health insurance coverage""",Low
Customer Service,"Returns: ""Supplier delays resulting in lost or damaged goods""",Medium
Operations,"Supply Chain: ""Frequent conflicts among team members""",Medium
Tech,"Hardware: ""Errors in hiring process""",Medium
Tech,"Network: ""Insufficient causing workplace safety concerns""",Low
Customer Service,"Returns: ""Errors in during audit processes""",Medium
Tech,"Network: ""Lack of software crashes causing work disruptions""",Medium
Operations,"Supply Chain: ""Unresolved professional growth opportunities""",Medium
Tech,"Hardware: ""Supplier delays communication regarding order status updates""",Low
HR,"Training & Development: ""Delayed internet connection affecting remote work""",Low
Tech,"Hardware: ""Errors in return process dissuading customers from making purchases""",Medium
Tech,"Hardware: ""Data breaches budget allocation for crucial projects""",Low
Tech,"Network: ""Unresolved deliveries disrupting customer schedules""",Medium
Tech,"Security: ""Inconsistencies computers slowing down productivity""",High
Tech,"Hardware: ""Slow return process dissuading customers from making purchases""",Medium
Finance,"Budgeting: ""Frequent deliveries disrupting customer schedules""",Low
Customer Service,"Delivery: ""Delayed budget allocation for crucial projects""",Medium
HR,"Training & Development: ""Frequent resulting in lost or damaged goods""",Medium
Customer Service,"Product Quality: ""Slow causing workplace safety concerns""",Medium
Operations,"Facilities: ""Outdated deliveries disrupting customer schedules""",Low
Customer Service,"Communication: ""Unresolved return process dissuading customers from making purchases""",Low
Finance,"Billing: ""Complicated causing workplace safety concerns""",Medium
Customer Service,"Communication: ""Frequent invoicing causing cash flow issues""",Low
Finance,"Accounting: ""Inconsistencies conflicts among team members""",Medium
Operations,"Supply Chain: ""Data breaches sensitive information""",Low
Finance,"Auditing: ""Inconsistencies deliveries disrupting customer schedules""",Medium
Finance,"Billing: ""Slow items leading to storage issues""",Low
Finance,"Billing: ""Complicated professional growth opportunities""",Medium
HR,"Compensation & Benefits: ""Errors in affecting production timelines""",High
Operations,"Inventory Management: ""Received causing workplace safety concerns""",High
Tech,"Security: ""Supplier delays hiring process""",Medium
Operations,"Supply Chain: ""Slow computers slowing down productivity""",Medium
Tech,"Network: ""Errors in during audit processes""",Medium
Operations,"Facilities: ""Complicated return process dissuading customers from making purchases""",Low
Customer Service,"Product Quality: ""Errors in communication regarding order status updates""",Low
HR,"Recruitment: ""Inadequate budget allocation for crucial projects""",Low
HR,"Training & Development: ""Poor professional growth opportunities""",High
HR,"Compensation & Benefits: ""Lack of deliveries disrupting customer schedules""",Low
Customer Service,"Returns: ""Insufficient return process dissuading customers from making purchases""",Low
Customer Service,"Product Quality: ""Supplier delays invoicing causing cash flow issues""",Low
Finance,"Accounting: ""Shipping errors budget allocation for crucial projects""",Medium
Tech,"Security: ""Frequent during audit processes""",High
Tech,"Hardware: ""Supplier delays defective products multiple times""",High
Customer Service,"Communication: ""Insufficient software crashes causing work disruptions""",Medium
Tech,"Network: ""Slow professional growth opportunities""",Medium
HR,"Training & Development: ""Data breaches hiring process""",Low
HR,"Compensation & Benefits: ""Complicated items leading to storage issues""",Low
Customer Service,"Returns: ""Data breaches software crashes causing work disruptions""",Low
Tech,"Security: ""Received computers slowing down productivity""",Low
Finance,"Accounting: ""Inconsistencies budget allocation for crucial projects""",Medium
Tech,"Network: ""Lack of hiring process""",High
HR,"Employee Relations: ""Unresolved financial reports leading to inaccurate decision-making""",High
Finance,"Billing: ""Inconsistencies during audit processes""",High
Operations,"Supply Chain: ""Late internet connection affecting remote work""",Low
Operations,"Supply Chain: ""Slow budget allocation for crucial projects""",Medium
Tech,"Hardware: ""Maintenance issues hiring process""",High
Operations,"Supply Chain: ""Data breaches professional growth opportunities""",Medium
Tech,"Software: ""Insufficient hiring process""",Low
Operations,"Supply Chain: ""Inconsistencies affecting production timelines""",High
Operations,"Facilities: ""Errors in budget allocation for crucial projects""",Low
Customer Service,"Returns: ""Poor deliveries disrupting customer schedules""",Low
